trial,val_mae,val_mse,val_high_mae,val_high_mse,combined_score,status,param_asymmetric_alpha,param_high_value_threshold,param_high_activity_ratio,param_weight_power
19,0.006330798025287333,6.280608327610285e-05,0.005667272966093151,5.127144556145898e-05,0.0058663304838514055,success,6.0,0.35,0.4,2.5
12,0.010336049255870637,0.00014794342063223232,0.006797906350887691,7.219674987624103e-05,0.007859349222382574,success,6.0,0.3,0.4,3.5
10,0.010913281701505184,0.00016401641048668396,0.007620563999807928,9.466802013946563e-05,0.008608379310317105,success,6.0,0.3,0.4,2.5
39,0.009786474917616163,0.00014490856154311804,0.009642010929383105,0.00017762200023222854,0.009685350125853021,success,10.0,0.3,0.4,3.5
47,0.01044633931347302,0.00016783617389765348,0.009678244886648221,0.00018562404970623447,0.00990867321469566,success,10.0,0.35,0.4,3.0
2,0.009991310714256196,0.0001375929437234022,0.010145952720146548,0.0001489680364935945,0.010099560118379442,success,6.0,0.25,0.4,3.0
20,0.011865360484946342,0.00018719547369983047,0.010470992638147436,0.00015149079025652176,0.010889302992187107,success,6.0,0.35,0.4,3.0
11,0.01161437894084624,0.00018444937623349862,0.013231977262573006,0.00025047377088564343,0.012746697766054974,success,6.0,0.3,0.4,3.0
1,0.01096032653003931,0.0001920641547517984,0.01352650796858749,0.00025118425133996425,0.012756653537023037,success,6.0,0.25,0.4,2.5
3,0.011524654570079985,0.00019591512474497513,0.013437109043782888,0.0002633989149671834,0.012863372701672017,success,6.0,0.25,0.4,3.5
48,0.013745150262756007,0.0002971770636144183,0.014311377468402497,0.00034144676995614037,0.01414150930670855,success,10.0,0.35,0.4,3.5
30,0.00965550568486963,0.00014646434907003174,0.016924447683171213,0.0004207838613012882,0.014743765083680738,success,10.0,0.25,0.4,3.5
38,0.012315183390109312,0.00023473694593468237,0.016000489427824505,0.0004257783254312623,0.014894897616509944,success,10.0,0.3,0.4,3.0
29,0.00948096802901654,0.00014254053253569596,0.018101471175517265,0.000524576940051702,0.015515320231567046,success,10.0,0.25,0.4,3.0
55,0.01458239502140454,0.0003357219109256264,0.01847818639119699,0.0006544702648246433,0.017309448980259254,success,14.0,0.25,0.4,2.5
65,0.01726907296549706,0.00048335497766467076,0.01773499283444835,0.00047370571500475006,0.01759521687376296,success,14.0,0.3,0.4,3.0
28,0.014215316046916303,0.00032064709064018516,0.019859793382541586,0.000692619137832177,0.018166450181853998,success,10.0,0.25,0.4,2.5
37,0.014707993760350205,0.00034418126008295945,0.02141102413588669,0.0007351431347236334,0.019400115023225743,success,10.0,0.3,0.4,2.5
24,0.019593712740710804,0.000675492664976489,0.02163757297967095,0.0007988485907427881,0.021024414907982902,success,6.0,0.35,0.5,3.5
46,0.015850103149811428,0.00039634334998914884,0.023829190834173158,0.0008636863901377486,0.021435464528864637,success,10.0,0.35,0.4,2.5
15,0.0190937127918005,0.0005715385805593715,0.023273689323104918,0.00082305723196896,0.02201969636371359,success,6.0,0.3,0.5,3.5
64,0.017153118470949785,0.0004622844336110921,0.02442988590094804,0.001004731972850929,0.022246855671948562,success,14.0,0.3,0.4,2.5
56,0.019118253274687698,0.0006141736840141849,0.028321334742940962,0.0014253790670106052,0.025560410302464982,success,14.0,0.25,0.4,3.0
57,0.01790008813674961,0.0005008644809658151,0.02969560511216211,0.0016462479680588633,0.02615695001953836,success,14.0,0.25,0.4,3.5
