YYYY,MM,DD,hh.h,hh._m,days,days_m,Hp60,ap60,D
2026,01,04,06.0,06.50,34337.25000,34337.27083,0.000,0,0
2026,01,04,07.0,07.50,34337.29167,34337.31250,0.000,0,0
2026,01,04,08.0,08.50,34337.33333,34337.35416,0.333,2,0
2026,01,04,09.0,09.50,34337.37500,34337.39583,0.667,3,0
2026,01,04,10.0,10.50,34337.41667,34337.43750,0.667,3,0
2026,01,04,11.0,11.50,34337.45833,34337.47916,1.333,5,0
2026,01,04,12.0,12.50,34337.50000,34337.52083,0.333,2,0
2026,01,04,13.0,13.50,34337.54167,34337.56250,0.000,0,0
2026,01,04,14.0,14.50,34337.58333,34337.60416,0.667,3,0
2026,01,04,15.0,15.50,34337.62500,34337.64583,1.000,4,0
2026,01,04,16.0,16.50,34337.66667,34337.68750,0.667,3,0
2026,01,04,17.0,17.50,34337.70833,34337.72916,1.667,6,0
2026,01,04,18.0,18.50,34337.75000,34337.77083,1.667,6,0
2026,01,04,19.0,19.50,34337.79167,34337.81250,2.333,9,0
2026,01,04,20.0,20.50,34337.83333,34337.85416,2.000,7,0
2026,01,04,21.0,21.50,34337.87500,34337.89583,3.667,22,0
2026,01,04,22.0,22.50,34337.91667,34337.93750,2.333,9,0
2026,01,04,23.0,23.50,34337.95833,34337.97916,2.667,12,0
2026,01,05,00.0,00.50,34338.00000,34338.02083,3.667,22,0
2026,01,05,01.0,01.50,34338.04167,34338.06250,2.333,9,0
2026,01,05,02.0,02.50,34338.08333,34338.10416,2.333,9,0
2026,01,05,03.0,03.50,34338.12500,34338.14583,2.667,12,0
2026,01,05,04.0,04.50,34338.16667,34338.18750,4.333,32,0
2026,01,05,05.0,05.50,34338.20833,34338.22916,4.000,27,0
2026,01,05,06.0,06.50,34338.25000,34338.27083,3.000,15,0
2026,01,05,07.0,07.50,34338.29167,34338.31250,4.333,32,0
2026,01,05,08.0,08.50,34338.33333,34338.35416,5.000,48,0
2026,01,05,09.0,09.50,34338.37500,34338.39583,3.333,18,0
2026,01,05,10.0,10.50,34338.41667,34338.43750,2.667,12,0
2026,01,05,11.0,11.50,34338.45833,34338.47916,2.333,9,0
2026,01,05,12.0,12.50,34338.50000,34338.52083,3.000,15,0
2026,01,05,13.0,13.50,34338.54167,34338.56250,3.333,18,0
2026,01,05,14.0,14.50,34338.58333,34338.60416,1.000,4,0
2026,01,05,15.0,15.50,34338.62500,34338.64583,1.000,4,0
2026,01,05,16.0,16.50,34338.66667,34338.68750,0.667,3,0
2026,01,05,17.0,17.50,34338.70833,34338.72916,0.667,3,0
2026,01,05,18.0,18.50,34338.75000,34338.77083,0.667,3,0
2026,01,05,19.0,19.50,34338.79167,34338.81250,0.667,3,0
2026,01,05,20.0,20.50,34338.83333,34338.85416,0.667,3,0
2026,01,05,21.0,21.50,34338.87500,34338.89583,1.667,6,0
2026,01,05,22.0,22.50,34338.91667,34338.93750,2.000,7,0
2026,01,05,23.0,23.50,34338.95833,34338.97916,0.667,3,0
2026,01,06,00.0,00.50,34339.00000,34339.02083,1.000,4,0
2026,01,06,01.0,01.50,34339.04167,34339.06250,1.000,4,0
2026,01,06,02.0,02.50,34339.08333,34339.10416,1.000,4,0
2026,01,06,03.0,03.50,34339.12500,34339.14583,0.667,3,0
2026,01,06,04.0,04.50,34339.16667,34339.18750,0.667,3,0
2026,01,06,05.0,05.50,34339.20833,34339.22916,0.333,2,0
2026,01,06,06.0,06.50,34339.25000,34339.27083,0.333,2,0
2026,01,06,07.0,07.50,34339.29167,34339.31250,1.000,4,0
2026,01,06,08.0,08.50,34339.33333,34339.35416,1.667,6,0
2026,01,06,09.0,09.50,34339.37500,34339.39583,2.333,9,0
2026,01,06,10.0,10.50,34339.41667,34339.43750,1.667,6,0
2026,01,06,11.0,11.50,34339.45833,34339.47916,2.000,7,0
2026,01,06,12.0,12.50,34339.50000,34339.52083,2.667,12,0
2026,01,06,13.0,13.50,34339.54167,34339.56250,3.333,18,0
2026,01,06,14.0,14.50,34339.58333,34339.60416,0.667,3,0
2026,01,06,15.0,15.50,34339.62500,34339.64583,0.333,2,0
2026,01,06,16.0,16.50,34339.66667,34339.68750,0.667,3,0
2026,01,06,17.0,17.50,34339.70833,34339.72916,1.000,4,0
2026,01,06,18.0,18.50,34339.75000,34339.77083,0.333,2,0
2026,01,06,19.0,19.50,34339.79167,34339.81250,0.667,3,0
2026,01,06,20.0,20.50,34339.83333,34339.85416,0.667,3,0
2026,01,06,21.0,21.50,34339.87500,34339.89583,0.333,2,0
2026,01,06,22.0,22.50,34339.91667,34339.93750,0.333,2,0
2026,01,06,23.0,23.50,34339.95833,34339.97916,0.333,2,0
